游戏类型	厂商	游戏名称
RNG	JL	Super Ace_超级王牌
RNG	PG	Pinata Wins_墨西哥狂欢
RNG	PG	Wild Bounty Showdown_赏金大对决
RNG	JL	Super Ace Deluxe_超级王牌豪华版
RNG	JL	Golden Empire_黄金帝国
RNG	JL	Fortune Gems 2_迦罗宝石2
RNG	FC	Sugar Bang Bang 2_蜜糖爆击2
RNG	JL	Fortune Gems 3_迦罗宝石3
LIVE	EG	Speed Baccarat A_Speed Baccarat A
RNG	PG	Wild Ape#3258_猿宇宙#3258
RNG	JL	Mines_Mines
RNG	JL	Money Coming_疯狂钱来也
RNG	PG	Wild Bandito_亡灵大盗
RNG	PP	Sweet Bonanza 1000_甜入心扉 1000
RNG	PP	Sugar Rush 1000_极速糖果1000
RNG	JL	Fortune Gems_迦罗宝石
RNG	PG	Lucky Neko_招财喵
RNG	FC	Poker Win_至尊王牌
RNG	MW	Mahjong Hit_麻将碰碰
RNG	PG	Treasures of Aztec_寻宝黄金城
RNG	JL	Color Game_Color Game
PVP	JL	Tongits Go_Tongits Go
RNG	FC	Chinese New Year Moreways_大过年路路发
RNG	JL	Boxing King_拳王
RNG	FC	Sugar Bang Bang_蜜糖爆击
RNG	JDB	Magic Ace WILD LOCK_魔幻王牌 WILD LOCK
RNG	JL	Crazy777_疯狂777
RNG	PG	Mahjong Ways 2_麻将胡了2
RNG	FC	JUNGLE BANG BANG_丛林爆击
LIVE	EG	Super Speed Baccarat_超级极速百家乐
RNG	PP	Gates of Olympus Super Scatter_奥林匹斯之门超神力
RNG	JL	Super Ace II_超级王牌 II
RNG	JL	Wild Ace_百搭王牌
RNG	PG	Geisha's Revenge_艺伎之刃
LIVE	EG	Crazy Time_Crazy Time
RNG	PG	Poker Kingdom Win_扑克王国
FISH	JL	Ocean King Jackpot_海王彩金
FISH	JL	Fortune King Jackpot_財神彩金
RNG	PG	Anubis Wrath_阿努比斯
RNG	JL	Pirate Queen 2_海盗女王2
LIVE	EG	No Commission Baccarat_No Commission Baccarat
RNG	FC	Chinese New Year 2_大过年2
RNG	YB	Royal Ace_王牌贵宾
RNG	PG	Cocktail Nights_夜醉佳人
RNG	YB	Dragon Gems_好运龙宝
RNG	FC	Super Elements_元素狂潮
RNG	PP	Gates of Olympus 1000_奥林匹斯之门 1000
RNG	FC	Lucky Fortunes_财富连连
RNG	JL	Circus Joker 4096_馬戲團小丑 4096
RNG	JL	3 Super Ace_3 超級王牌

GPI	Keno_快乐彩
BGO	Bingo Pilipino Live_宾果菲律宾直播

JL	Ocean King Jackpot_海王彩金
JL	Fortune King Jackpot_財神彩金
JL	Jackpot Fishing_极速彩金捕鱼
JL	Mega Fishing_王者捕鱼
JL	Happy Fishing_开心捕鱼
FC	Star Hunter_星际捕鱼
JDB	Cai Shen Fishing_财神捕鱼
JL	FORTUNE ZOMBIE_FORTUNE ZOMBIE
JL	Jackpot Fishing 2_极速彩金捕鱼2
JL	Dinosaur Tycoon_猎龙大亨
JL	All-star Fishing_全明星捕魚
JDB	Five Dragons Fishing_五龙捕鱼
JL	Dinosaur Tycoon II_猎龙大亨2
JL	Circus Jackpot_Circus Jackpot
AW	Money Tree_摇钱树
CQ9	Oneshot Fishing_一炮捕鱼
FC	Monkey King Fishing_大圣捕鱼
JL	Boom Legend_夺宝传奇
FC	Fa Chai Fishing_发财捕鱼
FC	Gods Grant Fortune_众神发发发
FC	Fierce Fishing_激斗捕鱼
JL	Bombing Fishing_炸鱼来了
JL	Dragon Fortune_飞龙宝藏
JL	Royal Fishing_钱龙捕鱼
AW	Lucky Buddha_弥勒佛
AW	SuperStar_明星派对
FC	Bao Chuan Fishing_宝船捕鱼
FTG	Ocean Palace Loot_龙宫宝藏
JDB	Fishing YiLuFa_捕鱼一路发
AW	Jackypot Frenzy_彩金狂飙
AW	Mr Fortune_至尊财神
CQ9	Paradise_皇金渔场
SAS	Fishermen Gold_鱼乐无穷
JDB	FISHING LEGEND_海皇争霸 龙凤传说
JDB	Dragon Fishing_龙王捕鱼
DRS	Dino Hunter_猎龙霸主
CQ9	Hero Fishing_英雄捕鱼
AW	Aladdin Adventure_阿拉丁冒险
AW	Ice & Fire_冰焰龍戰
BT	Bird'sParadise_百鸟朝凤
JDB	Dragon of Demons_邪龙传奇
AW	Kung Fu Meow_喵鱼大战
FTG	Space War_星海征战
SWG	Cash Cow_摇钱树
CQ9	Paradise 2_皇金渔场2
CQ9	Onestick Fishing_一棒捕鱼
AW	Circus_马戏团
JDB	Dragon Master_猎龙高手
TP	Twoyeah Jackpot Fishing_二爺彩金捕魚
DRS	Gods Slash Fish_三仙劈鱼

EG	Speed Baccarat A_Speed Baccarat A
EG	Super Speed Baccarat_超级极速百家乐
EG	Crazy Time_Crazy Time
EG	No Commission Baccarat_No Commission Baccarat
SEX	BACCARAT C08_百家乐 C08
EG	Speed Baccarat B_Speed Baccarat B
SEX	BACCARAT C09_百家乐 C09
