游戏类型	厂商	游戏名称
FISH	AW	Aladdin Adventure
FISH	AW	Circus
FISH	AW	Ice & Fire
FISH	AW	Jackypot Frenzy
FISH	AW	Kung Fu Meow
FISH	AW	Lucky Buddha
FISH	AW	Money Tree
FISH	AW	Mr Fortune
FISH	AW	SuperStar
FISH	BT	Bird'sParadise
FISH	CQ9	Hero Fishing
FISH	CQ9	Oneshot Fishing
FISH	CQ9	Onestick Fishing
FISH	CQ9	Paradise
FISH	CQ9	Paradise 2
FISH	DRS	Dino Hunter
FISH	DRS	Gods Slash Fish
FISH	FC	Bao Chuan Fishing
FISH	FC	Fa Chai Fishing
FISH	FC	Fierce Fishing
FISH	FC	Gods Grant Fortune
FISH	FC	Monkey King Fishing
FISH	FC	Star Hunter
FISH	FTG	Ocean Palace Loot
FISH	FTG	Space War
FISH	JDB	Cai Shen Fishing
FISH	JDB	Dragon Fishing
FISH	JDB	Dragon Master
FISH	JDB	Dragon of Demons
FISH	JDB	FISHING LEGEND
FISH	JDB	Fishing YiLuFa
FISH	JDB	Five Dragons Fishing
FISH	JL	All-star Fishing
FISH	JL	Bombing Fishing
FISH	JL	Boom Legend
FISH	JL	Circus Jackpot
FISH	JL	Dinosaur Tycoon
FISH	JL	Dinosaur Tycoon II
FISH	JL	Dragon Fortune
FISH	JL	Fortune King Jackpot
FISH	JL	FORTUNE ZOMBIE
FISH	JL	Happy Fishing
FISH	JL	Jackpot Fishing
FISH	JL	Jackpot Fishing 2
FISH	JL	Mega Fishing
FISH	JL	Ocean King Jackpot
FISH	JL	Royal Fishing
FISH	SAS	Fishermen Gold
FISH	SWG	Cash Cow
FISH	TA	Bombing Fishing
FISH	TA	Boom Legend
FISH	TA	Dinosaur Tycoon
FISH	TA	Dinosaur Tycoon II
FISH	TA	Dragon Fortune
FISH	TA	Fortune Zombie Lightning
FISH	TA	Happy Fishing
FISH	TA	Happy Fishing Lightning
FISH	TA	Jackpot Fishing
FISH	TA	Mega Fishing
FISH	TA	Ocean King Jackpot
FISH	TA	Royal Shooter
FISH	TP	Twoyeah Jackpot Fishing
LIVE	DG	Baccarat
LIVE	DG	blockchain baccarat
LIVE	EG	Always 8 Baccarat
LIVE	EG	Always 9 Baccarat
LIVE	EG	Craps
LIVE	EG	Crazy Time
LIVE	EG	Crazy Time A
LIVE	EG	Dragon Tiger
LIVE	EG	Funky Time
LIVE	EG	Golden Wealth Baccarat
LIVE	EG	Ice Fishing
LIVE	EG	Korean Golden Wealth Baccarat
LIVE	EG	Lightning Baccarat
LIVE	EG	Lightning Roulette
LIVE	EG	Lightning Storm
LIVE	EG	Mega Ball
LIVE	EG	Monopoly Big Baller
LIVE	EG	MONOPOLY Live
LIVE	EG	No Commission Baccarat
LIVE	EG	Prosperity Tree Baccarat
LIVE	EG	Speed Baccarat A
LIVE	EG	Speed Baccarat B
LIVE	EG	Speed Baccarat D
LIVE	EG	Super Color Game
LIVE	EG	Super Speed Baccarat
LIVE	EZ	EZ Dealer Roulette
LIVE	EZ	EZ Dealer Roulette Bengali
LIVE	EZ	EZ Dealer Roulette Savanna
LIVE	EZ	Italian Roulette
LIVE	EZ	Ruleta del Sol
LIVE	MT	Baccarat AHT01
LIVE	MT	Baccarat AHT02
LIVE	PP	Baccarat 1
LIVE	PP	One Blackjack 5 -Turkish
LIVE	PP	Roulette 6  Turkish
LIVE	PP	Speed Baccarat 1
LIVE	PP	Speed Baccarat 2
LIVE	PP	Vietnamese Speed Baccarat 3
LIVE	PRE	Baccarat
LIVE	SEX	Baccarat 1
LIVE	SEX	Baccarat 2
LIVE	SEX	BACCARAT 3
LIVE	SEX	BACCARAT 4
LIVE	SEX	BACCARAT 5
LIVE	SEX	BACCARAT C01
LIVE	SEX	BACCARAT C04
LIVE	SEX	BACCARAT C05
LIVE	SEX	BACCARAT C06
LIVE	SEX	BACCARAT C07
LIVE	SEX	BACCARAT C08
LIVE	SEX	BACCARAT C09
LIVE	SEX	BACCARAT C10
LOTTERY	BGO	Bingo Pilipino Live
LOTTERY	GPI	Keno
PVP	7X	Tongits
PVP	7X	Tongits Butasan
PVP	7X	Tongits Joker
PVP	BSP	Black jack(3D)
PVP	BSP	RUMMY
PVP	BSP	Texas holdem
PVP	GFG	Baccarat
